,value
0,-0.039
1,1.085
2,-2.794
3,1.652
4,1.38
5,-0.29
6,0.069
7,-1.258
8,0.781
9,-0.441
10,0.83
11,-1.193
12,1.77
13,0.838
14,-0.023
15,-1.375
16,1.589
17,0.961
18,-0.825
19,0.085
20,-1.712
21,-0.555
22,-0.266
23,-0.424
24,-0.966
25,-0.158
26,-0.146
27,-0.686
28,0.271
29,1.446
30,1.161
31,1.053
32,-0.404
33,-0.23
34,1.061
35,0.206
36,0.238
37,0.786
38,0.514
39,0.085
40,-1.262
41,-0.114
42,-0.179
43,-0.27
44,-1.42
45,1.197
46,-0.403
47,-3.181
48,0.829
49,-0.461
50,-0.749
51,-0.297
52,0.714
53,-0.374
54,-1.191
55,-0.728
56,-0.596
57,-0.626
58,1.387
59,0.573
60,-0.175
61,-0.605
62,0.287
63,-1.134
64,-1.183
65,-0.729
66,0.174
67,-0.328
68,0.743
69,1.192
70,0.592
71,1.385
72,-0.245
73,-1.015
74,-1.631
75,-1.22
76,-1.069
77,2.314
78,-1.066
79,-0.928
80,1.987
81,-0.875
82,-0.278
83,0.014
84,1.58
85,0.258
86,-1.038
87,0.742
88,-1.669
89,0.124
90,1.082
91,-0.99
92,0.743
93,-1.136
94,0.915
95,0.191
96,0.461
97,0.103
98,0.706
99,1.382
